Rank (Overall rank based on Gridiron AI predicted points.),Name,Team,Pos.,Bye,Injury,Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-G Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-G Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-G Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-G Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-G Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
1,Lamar Jackson,BAL,QB,7,,18,1,329.5,94.4,606.3,23.6,10.9,254.7,2.7,0.7,41,30.7,96,93,61.2,49.8,5029,63115,877745
2,Jayden Daniels,WAS,QB,12,,26,2,315.8,78.5,583.9,23.5,30.2,252.7,2.7,1,16,38.7,45,81.7,61.5,64.9,29990,,1161228
3,Joe Burrow,CIN,QB,10,,34,3,297.8,79.9,560.7,23.3,25.9,328,2.7,1,47,44,100,100,63.5,61.2,27444,63336,878785
4,Josh Allen,BUF,QB,7,,41,4,288.8,72,554.1,11.4,23,127.7,1.3,0.3,0,22.3,1,62.3,0,37.5,5005,62239,868199
5,Baker Mayfield,TB,QB,9,,43,5,288.2,77,546.9,25.5,14.2,331.7,3,1,41,40,100,95.3,61.2,58.4,4999,41535,748070
6,Bo Nix,DEN,QB,12,,44,6,285.9,75.9,525.5,24.1,14.5,302,3,1,36,39,88,94,55.4,59.3,29884,,1161899
7,Jalen Hurts,PHI,QB,9,,45,7,285.9,56.8,566.8,4.5,,52,0,0,,7,,16,,58.3,27496,69531,913271
8,Caleb Williams,CHI,QB,5,,49,8,279.4,78.1,503.6,11.4,16.2,228.3,1,1.7,32,37,100,100,51.6,59.2,29989,,1286445
9,Jared Goff,DET,QB,8,,53,9,276,76,523.7,19.6,16.2,288.7,2.3,0.7,33,34.3,100,100,48.5,50.5,4460,38435,727837
10,Justin Herbert,LAC,QB,12,,55,10,274.2,66.5,529,23.5,5.9,331,2.3,0.3,40,40,100,93.5,53.3,56.3,27449,69189,910562
11,Patrick Mahomes,KC,QB,10,,56,11,273.9,72.7,519.9,24.9,2.3,312.5,2.5,0,,42.5,,100,,62.5,4951,57439,839031
12,Brock Purdy,SF,QB,14,O,58,12,273.1,74.1,502.2,25.7,9.2,364,3,1.5,,41,,96,,66.6,28863,85607,1121761
13,Kyler Murray,ARI,QB,8,,61,13,270.7,62.6,525.7,21.4,11.8,294,2.3,1.3,38,43.3,92,97.3,63.3,62.1,27161,63484,879799
14,Drake Maye,NE,QB,14,Q,67,14,261.8,64.9,480.2,8.4,15.4,146.7,1,1.3,1,23.7,5,62,33.3,52,29991,,1286803
15,Dak Prescott,DAL,QB,10,,72,15,254.1,58.2,502.7,,,,,,,,,,,,4246,31716,591816
16,Sam Darnold,SEA,QB,8,,75,16,251.2,59.4,484.8,17.9,17.4,269,2,0.7,44,43.3,100,100,67.7,64.1,5001,63589,880026
17,C.J. Stroud,HOU,QB,6,,78,17,248.7,64,463,9.4,10.1,169.7,1,1,6,26.3,18,68.7,54.5,63.1,29163,,1214084
18,Aaron Rodgers,PIT,QB,5,,79,18,247.4,52.3,487.5,12.8,24.5,216,1.7,1.3,36,32.3,100,87.7,56.2,54.5,862,6894,213957
19,Justin Jefferson,MIN,WR,6,,3,1,247.3,133.6,365.7,20.7,28,96.7,0.7,0,9,11,98,96.3,14.1,16.9,27465,85671,1069535
20,Jordan Love,GB,QB,5,,83,19,243.8,51.7,478.9,8.7,9.2,148,0.7,0,12,24,35,74,52.2,49.9,27469,69017,912137
21,Ja'Marr Chase,CIN,WR,10,,6,2,242.7,134.7,354,22.4,6.4,100.7,0.7,0,14,12.7,99,98.5,19.2,18.1,28010,85701,1109979
22,Matthew Stafford,LA,QB,8,,85,20,242.3,54,475.5,7.8,2.8,155.5,0.5,0.5,,30,,100,,54.5,566,6654,323205
23,Amon-Ra St. Brown,DET,WR,8,,8,3,235.9,123.8,352.8,17.6,6.3,69,0.7,0,7,8.3,81,81.7,12.7,15,28117,86997,1127106
24,Geno Smith,LVR,QB,8,,88,21,235.6,62.2,460.1,17.3,22,246,2.3,1.3,29,33,100,100,52.7,57.2,3052,26483,513856
25,Trevor Lawrence,JAX,QB,8,,90,22,235.3,55.6,464.7,,,,,,,,,,,,28006,89951,1110711
26,Puka Nacua,LA,WR,8,,9,4,235,113.1,360.2,18.2,9.3,92.5,0,0,,11.5,,88,,23.6,29338,,1162128
